# page	name	x0	y0	x1	y1
# Left column tops out at x1495; the right column's question numbers start at
# x~1512, so anything wider drags a stray digit into the crop.
1	focus	830	890	2078	1160
1	tip1	495	1165	800	1610
1	lb-instr	820	1172	1850	1292
1	lb-list	885	1300	1945	1482
1	lb-list2	885	1498	1880	1632
1	lb-follow	820	1648	1975	1748
1	tt-instr	818	1768	2078	1960
1	tt-q1	885	1968	1495	2198
1	tt-q2	885	2205	1495	2440
1	tt-q3	1500	2205	2078	2440
1	tt-b	818	2450	1870	2548
2	tp-instr	818	798	2060	980
2	tp-q1	885	1000	1495	1228
2	tp-q2	885	1238	1495	1502
2	tp-q3	885	1512	1495	1742
2	tp-q4	1500	1000	2078	1302
2	tp-q5	1500	1312	2078	1580
2	tp-q6	1500	1590	2078	1884
2	checklist	492	782	798	1268
2	une-box	492	1298	798	1878
2	une-line	858	1900	1315	1952
2	mt-intro	818	2085	1925	2135
2	mt-clock	812	2148	2072	2312
2	mt-q1	885	2328	1495	2600
2	mt-q2	885	2604	1495	2818
2	mt-q3	1500	2330	2078	2552
2	mt-q4	1500	2566	2078	2796
3	mt-q5	885	758	1495	988
3	mt-q6	885	996	1495	1254
3	mt-q7	885	1275	1495	1544
3	mt-q8	885	1548	1495	1790
3	mt-q9	1500	768	2078	984
3	mt-q10	1500	1010	2078	1274
3	mt-q11	1500	1286	2078	1620
3	mt-q12	1500	1630	2078	1862
3	lbd-head	795	2162	1510	2240
3	lbd-instr	878	2250	2060	2300
3	lbd-box	870	2308	2062	2542
3	lbd-conv	870	2550	2062	2812
3	lbd-follow	872	2826	1400	2870
4	lbd-b	890	790	2010	870
4	lbd-phrases	930	918	2072	1236
4	lbd-sits	930	1254	2060	1512
4	culture	928	1524	1772	1760
4	lbd-follow2	928	1782	2035	1934
4	fs-text	885	2062	2022	2192
4	fs-note	886	2204	1362	2248
