# page	name	x0	y0	x1	y1
1	focus	835	892	2078	1248
1	tip1	518	1256	796	1560
1	tip2	518	1592	796	2106
1	tt1-instr	800	1256	1665	1324
1	tt1-sub	908	1330	2070	1412
1	tt1-types	890	1428	2081	2126
1	tt1-lead	906	2146	1925	2230
1	tt1-q1	906	2238	2000	2290
1	tt1-q2	906	2294	2000	2344
1	tt1-q3	906	2350	2000	2398
1	tt1-q4	906	2404	2000	2454
1	tt1-q5	906	2460	2000	2508
1	tt1-q6	906	2514	2000	2564
2	tip3	492	770	790	1118
2	tt2-instr	815	786	2048	858
2	tt2-a	880	862	1755	908
2	tt2-box	876	918	2062	1218
2	tt2-b	886	1226	2048	1346
2	tt2-q1	932	1352	1965	1620
2	tt2-q2	932	1628	1965	1862
2	tt2-follow	882	1868	1596	1916
2	refund	808	1922	2062	2818
3	checklist	515	790	796	1440
3	tp-instr	800	792	1855	912
3	tp-q1	908	920	1420	1150
3	tp-q2	908	1158	1580	1390
3	tp-q3	908	1398	1475	1630
3	tp-lead	908	1656	1495	1702
3	letter	838	1712	2085	2792
4	mt-head	812	786	2062	862
4	mt-intro	886	864	1955	910
4	mt-clock	880	922	2062	1130
4	mt-lead1	882	1146	1600	1192
4	ad	810	1198	2085	2346
4	mt-q1	808	2352	1440	2625
4	mt-q2	808	2630	1440	2895
4	mt-q3	1444	2352	2085	2700
5	mt-lead2	900	792	1502	834
5	notice1	832	846	2085	1952
5	mt-q4	840	1966	1520	2198
5	mt-q5	840	2204	1965	2436
5	mt-q6	842	2444	1825	2676
6	mt-lead3	878	800	1478	848
6	notice2	808	862	2085	1814
6	mt-q7	808	1828	1760	2060
6	mt-q8	808	2068	1512	2298
6	mt-q9	806	2306	1585	2538
7	mt-lead4	832	788	1625	834
7	agenda	828	838	2085	1412
7	letter2	828	1420	2085	2120
7	mt-q10	838	2156	1725	2388
7	mt-q11	838	2396	1620	2628
7	mt-q12	840	2632	1925	2864
8	ria-head	805	786	2060	864
8	ria-a	872	872	2020	960
8	ria-notice	805	966	2085	1536
8	ria-b	874	1726	2032	1884
8	ria-letter	800	1890	2058	2498
8	culture	868	2508	1568	2894
9	reply	835	786	2085	1706
9	fs-head	780	1740	2085	1826
9	fs-text	905	1842	2060	1922
9	fs-note	908	1934	1382	1980
